HLCL-0|keep going if you are scared keep going
HLCL-833|call Bill and told her what the store owner had said
HLCL-834|you know I always supported Clinton and I like Mark Pryor a lot he's a good man and fared everyone
HLCL-835|but we're going to give Congress to the Republicans
HLCL-836|the store owner was no fool the Republicans wouldn't do anything for him and his neighbors
HLCL-837|but he thought the Democrats hadn't done anything either
HLCL-838|at least the Republicans will do anything to us he said
HLCL-839|Democrats want to take away my gun and make me go to a gay wedding
HLCL-840|sure enough marklost big on Election Day to Tom Cotton one of the most right-wing members of Congress
HLCL-841|it wasn't that voters were turning away from the policies Mark and other Democrats had championed and they passed an increase in the state's minimum wage
HLCL-842|but the politics of cultural identity and resentment were overwhelming evidence reason and personal experience
HLCL-843|it seems like brexit at come to America even before the vote in the United Kingdom
HLCL-844|didn't bode well for 2016
HLCL-845|our party might have won the popular vote in five of the past six presidential elections but the political landscape for the 2016 race was shaping up to be extremely challenging
HLCL-846|is it fall this was enough to worry about there was also the simple inescapable fact that I was turning 60 years old
HLCL-847|if I ran in 1B the oldest president since Reagan
HLCL-848|I suspected there'd be ways of rumor-mongering about my health and everything else in my life it would be invasive crass and Insidious
HLCL-849|but contrary to persistent rumors made up and spread by the right-wing media my health was excellent I've recovered fully from the concussion I suffered in late 2012 and had no trouble keeping up a punishing travel schedule
HLCL-850|I admire the likes of Diana nyad who at the age of 64 became the first person to swim from Cuba to Florida without a shark cage
HLCL-851|when she finally emerged back on dry land she offered three pieces of advice never ever give up you're never too old to chase your dreams
HLCL-852|and even if something looks like a solitary sport it's a team effort
HLCL-853|words to live by
HLCL-854|still is this how I wanted to spend my time did I really want to put myself back in front of the firing squad National politics for years on end first in the campaign and then hopefully in the White House
HLCL-855|some of my dearest friends including my longtime adviser and former Chiefs of Staff in the White House and the state department Maggie Williams and Cheryl Mills told me I would be crazy to do it
HLCL-856|possession passed up the chance to run everyone from General Colin Powell to Mike Bloomberg to New York Governor Mario Cuomo who came so close to to take him to New Hampshire when he finally decided no
HLCL-857|so why did I do it
HLCL-858|I did it because when you clear away all the petty and not so petty reasons not to run all the headaches
HLCL-859|all the obstacles what was left with something too important to pass up
HLCL-860|it was a chance to do the most good I would ever be able to do
HLCL-861|and just one day at the White House you can get more done for more people then in months anywhere else
HLCL-862|to build an economy that works for everyone and an inclusive society that respected everyone
HLCL-863|we had to take on serious National Security threats
HLCL-864|there were issues already on my mind all the time and they would all require a strong qualified president
HLCL-865|I knew I would make the most of every minute once I started thinking about it that way I couldn't stop
HLCL-866|as it happened the person who gave me the chance to serve as secretary of state would once again play a decisive role
HLCL-867|a month after I left the state department in 2013 Barack and Michelle invited me to join them for a private dinner in the White House residence
HLCL-868|the four of us talked about our kids and experience of raising them in the Fishbowl of the White House
HLCL-869|we discussed wise after the Oval Office Barack and Michelle mused about moving to New York just as we had done
HLCL-870|that Prospect still felt very far away
HLCL-871|we all had high hopes for Barack second term there was a lot of Unfinished Business both at home and around the world
HLCL-872|we had four hours talking late Into the Night
HLCL-873|if back in the key today's of 2008 any of us could have gotten a glimpse of that evening we wouldn't have believed it
HLCL-874|over the next year or so the president and I kept in regular touch
HLCL-875|I think he was just a tiny bit jealous of my newfound Freedom which was a good reminder of how all-consuming the job is
HLCL-876|the following spring some of the time the president and I talked about work especially the foreign policy challenges he was facing in the second term
HLCL-877|but gradually as 2013 turned into 2014 our conversations turn more frequently to politics
HLCL-878|President Obama knew the challenges facing Democrats he never took his re-election for granted and while it was a resounding win 2012 the legitimately and he knew that his legacy depended to a large degree on a democratic victory in 2016
HLCL-879|he made it clear that he believed that I was our party's best chance to hold the White House and keep our progress going and he wanted me to move quickly to prepare to run
HLCL-880|I knew President Obama thought the world of his Vice President Joe Biden and was close to some other potential candidates so is vote of confidence meant a great deal to me
HLCL-881|we had our differences in both style and substance but over
HLCL-882|call Ming Lee we share the same values and policy goals
HLCL-883|we both saw ourselves as pragmatic progressives trying to move the country forward in the face of implacable opposition from a Republican party that have been taken over by the radical conservative tea party Fringe and wasn't thrall to its billionaire backers
HLCL-884|I shared the president's sense of urgency about how much was at stake in 2016 but I still wasn't entirely sold at running was the right decision for me
HLCL-885|insisted that I become Secretary of State and literally wouldn't take no for an answer
HLCL-886|President Obama is a persuasive and persistent advocate
HLCL-887|in the summer of 2013 David plus Obama's former campaign manager who engineered my defeat in 2008 offered to provide any help and advice he could as I planned my next steps after leaving the state department
HLCL-888|I invited him over to my house in Washington and quickly saw by the president had leaned on him so much he really knew his stuff
HLCL-889|we met again in September 2014 when he visited my house once more to give me a presentation about what it would take to build a winning presidential campaign
HLCL-890|he spoke in detail about strategy data personnel and timing
HLCL-891|I listened carefully determined that if I did jump into the race I would avoid the mistakes that a dog me the last time
HLCL-892|plus-size that time was of the essence as hard as that was to believe more than two years before the election
HLCL-893|in fact he said I was late already and urged me to get started
HLCL-894|he was right for me political campaigns have always been something to get through in order to be able to govern which is the real prize I'm not the most natural politician I'm a lot better than I'm usually given credit for but
HLCL-895|true that I've always been more comfortable talking about others rather than myself
HLCL-896|that made me an effective political spouse surrogate and office-holder but I had to adjust when I became a candidate myself
HLCL-897|at the beginning I had to actively try to use the word
HLCL-898|luckily meeting people listening learning building relationships working on policy and trying to help solve problems
HLCL-899|I would have loved to meet all 320 million Americans at a time
HLCL-900|but that's not how campaigns work in the end I came back to the part that's most important to me
HLCL-901|we methodists are taught to do all the good you can
HLCL-902|I knew that if I ran and I could do a world of Good and help an awful lot of people
HLCL-903|does that make me a bishops I guess it does
HLCL-904|but not in the Sinister way that people often mean it
HLCL-905|I did not want to be president because I want Power for power's sake
HLCL-906|I wanted power to do what I could to help solve problems and prepare the country for the future
HLCL-907|it's audacious for anyone to believe he or she should be president but I did
HLCL-908|I started calling policy experts reading thick binders of memos and making lists of problems that needed more thought
HLCL-909|I got excited thinking about all the ways we could make the economy stronger and fairer improve Healthcare and expand coverage make College more affordable and job-training programs more effective and Tackle big challenges such as climate change and terrorism
HLCL-910|it was honestly a lot of fun I talked with John podesta a longtime friends with Ben Bill's Chief of Staff in the white house it was also a top adviser to President Obama
HLCL-911|if I was going to do this again I would need John's help
HLCL-912|he promised that if Iran he'd leave the White House and become chairman of my camp
HLCL-913|he thought we could put together a fantastic team very quickly
HLCL-914|an energetic Grassroots group called ready for Hillary was already drumming up support all of that was very reassuring
HLCL-915|I thought back to what made me run for Senate the first time
HLCL-916|it was the late 1990s and Democrats in New York were urging me to run but I kept turning them down
HLCL-917|no first lady at ever done anything like that before and I hadn't run for office since I'd been Student Government president at Wellesley College
HLCL-918|I visited a school in New York with the tennis star Billie Jean King promoting an HBO special about women in sports
HLCL-919|Ed's was a big banner proclaiming the title of the film dare to compete
HLCL-920|before my speech the seventeen-year-old captain of the high school basketball team introduced me
HLCL-921|her name was Sophia
HLCL-922|as we shook hands she bent down and whispered in my ear
HLCL-923|dare to compete mrs. Clinton dare to compete
HLCL-924|something just clicked for years I have been telling young women to step up participant go for what you believe in how could I not be willing to do the same
HLCL-925|15 years later I was asking myself the same question
HLCL-926|there wasn't one dramatic moment when I declared I'm doing it
HLCL-927|bill and I closed out 2014 with a trip to the beautiful home of our friends Oscar and Annette Dela Renta in the Dominican Republic
HLCL-928|we swam a good food played cards and thought about the future
HLCL-929|by the time we got back I was ready to run
HLCL-930|the most compelling argument is the hardest to say out loud I was convinced that both Bill and Barack were right when they said I would be a better president than any
HLCL-931|out there I also thought I'd win
HLCL-932|I knew that Republicans had moved much further from the Vital Center of American politics and Democrats had as nonpartisan political scientists have documented
HLCL-933|but I still believed that the United States was a pretty sensible country
HLCL-934|previous generations faced much worse crises than anything we've seen from the Civil War to the Great Depression from World War 2 the Cold War and they responded by elected leaders
HLCL-935|only rarely have America's got carried away by extreme sore enthralled by ideology and never for long
HLCL-936|both major political parties despite the madness of their respective nominating process he's nearly always managed to weed out the most extreme candidates
HLCL-937|the four 2016 would never elected a president who flagrantly refused to abide by the basic standards of democracy and DC
HLCL-938|if I was the best qualified candidate had good ideas about the future in the debates and demonstrated a capacity to get things done with both Republicans and Democrats it was reasonable to believe I could get elected and be able to govern effectively
HLCL-939|that's why I ran there are things I regret about the 2016 campaign but the decision to run isn't one of them
HLCL-940|I started this chapter with some lines from TS eliot's poem East Coker that I've always loved
HLCL-941|there is only the fight to recover what has been lost and found and lost again and again and now under conditions that seem unpropitious
HLCL-942|but perhaps either gain or loss for us there is only the trying the rest is not our business
HLCL-943|when I first read that as a teenager in Park Ridge Illinois it's struck a chord somewhere deep inside maybe in that place where dim ancestral memories of indomitable Welsh and English Coal Miner's head alongside half understood stories from my mother's childhood of privation and abandonment
HLCL-944|there is only the trying I went back to that poem a few years later in 1969 when my classmates at Wellesley asked me to speak at our graduation
HLCL-945|many of us were feeling dismayed and disillusioned by the Vietnam War and the racial Injustice in America the assassinations of dr. Martin Luther King Jr and Robert F Kennedy and our seeming inability to change our country's course
HLCL-946|my paraphrasing gave Elliott's elegant English verse a Midwestern makeover
HLCL-947|there's only the trying I told my classmates again and again and a
HLCL-948|what we've lost before
HLCL-949|in the nearly 50 years since it's become a mantra for me and our family that win or lose it's important to get caught trying
HLCL-950|whether you're trying to win an election or pass a piece of legislation that will help millions of people
HLCL-951|build a friendship or save a marriage you're never guaranteed success but you are bound to try again and again and again
HLCL-952|I want to be thoroughly used up when I die for the harder I work the more I live
HLCL-953|life is no brief candle to me it is a sort of Splendid torch which I've got hold of for the moment
HLCL-954|and I want to make it burn as brightly as possible before handing it on to Future Generations
HLCL-955|George Bernard Shaw getting started
HLCL-956|you could say my campaign for president began with a Snappy internet video filmed in April 2015 outside my home in Chappaqua
HLCL-957|or you could point to my formal announcement speech that June on Roosevelt Island in New York
HLCL-958|but I think it started with something a lot more ordinary a Chipotle burrito bowl
HLCL-959|if you're wondering what I'm talking about you probably don't spend much time in the Carnival Fun House of cable and internet news
HLCL-960|it was April 13th 2015 in Maumee Ohio
HLCL-961|Chipotle with a pit stop on my road trip from New York to Iowa home of the first-in-the-nation caucus it was a purposely Loki trip no press no crowds just me a few staff and Secret Service agents
HLCL-962|we bundled into an oversized black
HLCL-963|I called Scooby because it reminds me of the Scooby Doo Mystery Machine Shaggy psychedelic but we love it just the same and set out on our thousand-mile journey
HLCL-964|I had a stack of memos to read a list of calls to make I had also Googled every NPR station from Westchester to Des Moines all set for a long drive
HLCL-965|and Mommy pulled into the parking lot of a strip mall off the highway for lunch
HLCL-966|I ordered a chicken burrito bowl with a side of guacamole
HLCL-967|Nick Merrill my traveling press secretary made fun of me for eating it out of the little cup with a spoon bypassing the chips
HLCL-968|nobody in the restaurant thought it was remarkable that I was there in fact nobody recognized list
HLCL-969|but when members of the press found out they reacted like I had landed in Ohio and extraterrestrial had wandered into a Chipotle
HLCL-970|footage from the restaurant security camera which made it look a little like we were robbing a bank
HLCL-971|the New York Times has the concluded my meal was healthier than the average Chipotle order with fewer calories saturated fat and sodium good they really ate CNN's lunch on that one
HLCL-972|the whole thing felt silly to paraphrase an old saying sometimes a burrito bowl is just a burrito bowl
HLCL-973|soon I was back in Iowa to state that handed me a humbling third-place finish in 2008
HLCL-974|like the road trip I wanted this first visit to be No-Frills I would do more listening than talking just as I had at the start of my first Senate campaign in New York
HLCL-975|my new state director Matt Paul who knew Iowa inside and out after years of working for governor and Senator Tom Harkin agreed
HLCL-976|I went wanted to get to know their candidates not just
HLCL-977|send to them give speeches that's exactly what I wanted to
HLCL-978|When Donald Trump started his campaign he seemed confident that he already had all the answers
HLCL-979|apart from his towering self-regard which blotted out all hope of learning or growing
HLCL-980|as a result he had no need to listen to anyone but himself
HLCL-981|I approach things differently after four years traveling the world as Secretary of State I wanted to reconnect with the problems that we're keeping American families up at night and hear directly about their hopes for the future
HLCL-982|I Decor set of ideas and principles but wanted to hear from voters to inform new plans to match what was really going on in their lives and the country
HLCL-983|one of the first people I met a New Hampshire another early contest state provided a case in point
HLCL-984|was a grandmother in her fifties with gray hair in the air of someone who carries a lot of
HLCL-985|Rihanna shoulders she was an employee of a 111 year-old family-run Furniture business I visited in Keene
HLCL-986|we were talking about how to help small businesses grow but Pam had a different Challenge on her mind
HLCL-987|her daughter had gotten hooked on pain medication after giving birth to a baby boy which led to a long struggle with drug addiction
HLCL-988|eventually Child & Family Services started calling Pam warning that her grandson could end up in foster care
HLCL-989|so she and her husband John took the child in and Pam found herself back in the role of primary caretaker she thought she had finished years before
HLCL-990|Pam wasn't the complaining type this was a labor of love and she was glad to pick up the slack especially now that her daughter was in treatment
HLCL-991|but she was worried a lot of families in town were facing similar struggles in New Hampshire more people were dying from drug overdose
HLCL-992|send from car crashes the number of people seeking treatment for heroin addiction has soared 90% over the past decade for prescription drugs the number was up 500%
HLCL-993|I knew a little about this at the time do and I were friends with three families with lost young adult children to opioids
HLCL-994|sadly that number has now grown to five
HLCL-995|when was it charismatic young man worked at the state department while he was in law school
HLCL-996|a friend of his offered some pills he took them went to sleep that night and never woke up
HLCL-997|others took drugs after drinking and their hearts stopped
HLCL-998|after these tragedies the Clinton Foundation partnered with adapt Pharma to make available free doses of the opioid antidote naloxone Narcan which can save lives by helping prevent overdoses to every High School
HLCL-999|college in the United States first visit to New Hampshire in a coffeeshop in downtown Keene a retired doctor leaned in and asked what can you do about the opioid and heroin epidemic
HLCL-1000|it was chilling to hear that word epidemic but it was the right one
HLCL-1001|in 2015 more than 33,000 people died from overdosing on opioids
HLCL-1002|if you add to that the number from 2014 it's more Americans than were killed in the entire Vietnam War
HLCL-1003|resources for treatment couldn't come close to keeping up
HLCL-1004|parents liquidated their savings to pay for their kids treatment some called the police about their own children because they had tried everything else
HLCL-1005|yet despite all this substance abuse wasn't getting much national attention either in Washington or in the National media
HLCL-1006|I didn't think about it as a campaign issue until I started hearing stories like Pam's in Iowa and New Hampshire
HLCL-1007|I called my policy team together and told them we had to get working right away on a strategy
HLCL-1008|my advisors found out we held Town Hall meetings and heard more stories in one session in New Hampshire a substance abuse counselor asked anyone who'd been impacted by the epidemic to raise his or her hand
HLCL-1009|nearly every hand in the room went up
HLCL-1010|a woman in treatment told me we're not bad people trying to get good we're sick people trying to get well
HLCL-1011|to help her and millions of others do that we came up with a plan to expand access to treatment improve training for doctors and pharmacists prescribing prescription drugs reform the criminal justice system so more nonviolent drug offenders end up in rehab instead of
HLCL-1012|and make sure every first-responder in America carries naloxone which is close to a miracle drug
HLCL-1013|this became a model for how my campaign operated in those early months people told me story after story about the challenges their families faced student debt the high cost of prescription drugs and insurance premiums and wages too low to support a middle-class life
HLCL-1014|I've used those conversations to guide the policies already being hammered out back in our Brooklyn headquarters I wanted my policy shop to be bold Innovative industrious and most importantly responsive to people's real life needs
HLCL-1015|Jake Sullivan my director of policy planning at the state department and Elyria longtime adviser of mine who shared my passion for children and Health Care policy and Maya Harris a veteran civil rights Advocate build and lead a great team
HLCL-1016|you can compare this to how Trump operated when the opioid epidemic finally started getting news attention he jumped on it as a way of making people believe that America was falling apart
HLCL-1017|but once he became president he turned his back on everyone and needed help by seeking to cut money for treatment
HLCL-1018|the Press often seemed by the round tables were these conversations happened critics dismissed them as Stage Door carefully controlled but I wasn't bored I wanted to talk with people
HLCL-1019|to me this was a big part of what running for president was supposed to be
HLCL-1020|over the long months that I'd weighed running a second time I thought a lot about what kind of campaign I'd want I certainly wanted one different from the one I ran during my 2008 primary lost to Barack Obama
HLCL-1021|I studied what he did right and I did wrong there was more to learn after
HLCL-1022|play twelve when the president put together another strong campaign that helped him win re-election over Mitt Romney a healthy margin despite a lackluster economy
HLCL-1023|his operations were two of the best ever I paid attention
HLCL-1024|my low profile first trip to Iowa some of the lessons that I kept in mind as I started to put my own organization in place
HLCL-1025|in 2008 I've been criticized for arriving in Iowa like a queen holding big rallies and acting like victory was inevitable
HLCL-1026|I never thought that was a fair description of me or our campaign we believed I could Prevail in a crowded and talented field but we certainly didn't take Iowa for granted
HLCL-1027|in fact we recognized that it wasn't an ideal first contest for me and spend a fair amount of 2007 trying to figure out how to make the best of it
HLCL-1028|still the criticism stock and I took it seriously this time
HLCL-1029|I was determined to run like an underdog and avoid any whiff of entitlement
HLCL-1030|I also wanted to build on the best parts of my 2008 effort especially the fighting Spirit of our campaigns in Ohio and Pennsylvania where I succeeded in forming a bond with working-class voters who felt invisible in George W Bush's America
HLCL-1031|I have dedicated my victory in the Ohio primary to everyone who's ever been counted out but refuse to be knocked out for everyone who has stumbled but stood right back up and for everyone who works hard and never gives up
HLCL-1032|I wanted to bring that Spirit to the 2016 campaign along with the best lessons of Obama's victories
HLCL-1033|we sought to set the right tone with my announcement video it showed a series of Americans talking excitedly about new challenges they were taking on two brothers starting a small business a mom getting her daughter ready for the first day of kindergarten
HLCL-1034|applying for her first job a couple getting married then I appeared briefly to say that I was running for president to help Americans get ahead and stay and then I was going to work hard to earn
HLCL-1035|this campaign wasn't going to be about me and my ambitions it would be about you and yours
HLCL-1036|there were other lessons to put into action in 2008 the Obama campaign had been analytics to model the electorate
HLCL-1037|it focused relentlessly on Grassroots organizing and winning the delegates who actually decide the nomination
HLCL-1038|it also built a no drama campaign organization that largely avoided damaging infighting and leaks
HLCL-1039|John podesta and I talked with President Obama and David about how to construct a team that could replicate these successes
HLCL-1040|what was a big fan of Robby Mook ultimately chose as campaign manager
HLCL-1041|Robbie had impressed David by helping me win against the odds and against him in Nevada Ohio and Indiana in 2008
HLCL-1042|in all three states he put together aggressive field programs and competed hard for every vote then he went on to manage my friend Terry McAuliffe successful Longshot campaign for governor of Virginia
HLCL-1043|Robbie was on a roll highly disciplined and level-headed with a passion for data and a talent for organizing
HLCL-1044|Aberdeen my trusted and valued adviser for years would be campaign vice-chair President Obama praised his pollsters data analytics team Elan kriegel
HLCL-1045|Naveen Nayak came on board to coordinate all these different
HLCL-1046|elements of opinion research to keep it all straight
HLCL-1047|posters call up a random sample of people and ask their opinions about candidates and issues
HLCL-1048|and data analytics teams make a lot of survey called crunch huge amounts of additional demographic consumer and pulling gate and feed it all into complex models to try to predict
HLCL-1049|these are all Staples of modern campaigns
HLCL-1050|to help God messaging and create ads I hired Jim Margolis a respected Obama veteran and Mandy Grunwald would been with me and Bill since our first national campaign in 1992
HLCL-1051|they worked with or ensure my director of paid media and several talented and creative ad agencies
HLCL-1052|I thought Jim's and Mandy's partnership would represent the Best of Both Worlds that's what I was going
HLCL-1053|for with all my hiring decisions makes the best available Talent from the Obama campaign's with top-notch Pros
HLCL-1054|the latter category included Dentistry re-election campaign and 2008 presidential campaign and later helped build up the Clinton Foundation endowment
HLCL-1055|minyon Moore one of the most experienced political operatives in Democratic politics and a veteran of my husband's White House and Jose Via Real a business leader who had worked with me estate and came on board to serve as my campaign treasurer
HLCL-1056|as I built my team I was focused on two tricky areas how to strike the right balance with President Obama and his White House and how to improve my relationship with the Press
HLCL-1057|the challenge of striking a balance with President Obama wasn't personal after all after four years in his cabinet wheel
HLCL-1058|entrusted each other there aren't many people in the world who know what it's like to run for president or live in the White House but we had that in common and it gave us a special bond we finally passed Healthcare something I was overjoyed and gave him a big hug for me
HLCL-1059|after his rough first presidential debate with Mitt Romney in 2012 I tried to cheer him up with a photoshopped image of Big Bird strapped to miss family car Romney had promised to slash funding for PBS and also famously took road trips with his dog on the roof of his car
HLCL-1060|please take a look at the image below smile and then keep that smile near at hand I told the president
HLCL-1061|we'll get this done he replied just hold the world together five more weeks for me
HLCL-1062|now that we can switch places and I was a candidate and he was the cheerleader the challenge for me was navigating the tension between
HLCL-1063|continuity and change on the one hand I believe deeply and what he accomplished as president and desperately wanted to make sure a republican wouldn't be able to undo it all
HLCL-1064|we might have areas of disagreement such as on Syria trade and how to deal with aggressive Russia but by and large I would defend his record try to build on his accomplishments and listen to his advice
HLCL-1065|he would call from time to time and share his thoughts on the race don't try to be hip you're a grandma Haiti's just be yourself and keep doing what you're doing
HLCL-1066|I was proud to have Barack support and nearly everyday told audiences around the country that he didn't get the credit he deserved for putting our country back together after the worst financial crisis since the Great Depression
HLCL-1067|at the same time there were big problems that still needed fixing in America and part of my job as candidate was to make it clear that I saw them and was ready to take them on
HLCL-1068|inevitably that meant ministrations efforts had fallen short even if the main culprit was Republican obstruction
HLCL-1069|it was a fine line to walk as it would have been for vice president or any Obama administration
HLCL-1070|if I fail to strike the right balance I ran the risk of either seeming disloyal or being cast as the candidate of the status quo both of which would be damaging
HLCL-1071|in one of the first meetings of our new team in a conference room on the 29th floor of a Midtown Manhattan office building Joel benenson presented the results of his early opinion research
HLCL-1072|he said Americans had to maintain points that would likely shape their views of the election economic pressure and political gridlock
HLCL-1073|the economy was definitely in better shape than it had been after the financial crisis but incomes hadn't begun to rise for most families so people still felt like their progress was fragile
HLCL-1074|could be ripped away at any moment and they had come to view dysfunction in Washington as a big part of the problem
HLCL-1075|they were right I had seen that dysfunction firsthand and knew how hard it would be to break through it although I think it's fair to say I underestimated how my opponents would wrongly accuse me of being responsible for a broken system
HLCL-1076|I had a record of success working with Republicans over the years I had plans for aggressive campaign Finance reform which would remove some of the profit motive behind the gridlock and I believe we had a strong shot at making progress
HLCL-1077|the problem remained how to find a compelling way to talk about the pain Americans felt and their dissatisfaction with how things were going in the country without reinforcing Republican criticisms of the Obama Administration which would be self-defeating and just plain wrong
HLCL-1078|Joe said I was starting from a strong Place 55% of
HLCL-1079|in the Battleground States had a favorable view of me
HLCL-1080|voters like that I'd work for Obama after losing to him in 2008 they also thought it showed him
HLCL-1081|but even though I've been in the public eye for decades actually done much less
HLCL-1082|this presented both a challenge and an opportunity despite having their Universal name recognition I would have to reintroduce myself not as an extension of Bill Clinton or Barack Obama but as an independent leader with my own story values and vision
HLCL-1083|there also some warning signs for high just 44% of Voters said they trusted me to be their voice in Washington that told us that some people respected sure I was in it
HLCL-1084|I was determined to change that perception the reason I got into public service was to make life better for children and families and now it was my job to make sure people understood that
HLCL-1085|there was something else we needed to do avoid repeating past problems with the political press Corps
HLCL-1086|over the years my relationship with the political process had become a vicious cycle
HLCL-1087|the more they went after me the more guarded I became which only made them criticize me more
HLCL-1088|I knew that if I wanted 2016 to be different I was going to have to try to change the dynamic and establish a more open and constructive give-and-take
HLCL-1089|there was some precedent as a senator I got along surprisingly well with the rough-and-tumble journalist of New York which consisted largely of journalists who had written about foreign policy for years
HLCL-1090|we talked easily went out together on the road toward Angora
HLCL-1091|in Cambodia in Saudi Arabia dance in South Africa and had adventures all over the globe
HLCL-1092|for the most part they covered me fairly and when I felt they didn't they were open to my criticism now I would establish a similar rapport with the political reporters covering the campaign I knew they were under constant pressure to write stories that would drive clicks and retweets and that negative stories sell so I was skeptical but it was worth a shot
HLCL-1093|to help me do it I hired Jennifer Palmieri a Savvy professional with strong press relationships
HLCL-1094|Jennifer at work for John podesta in the Clinton White House and at the Democratic the center for American progress
HLCL-1095|most recently she had been President Obama's communications director in the White House the president Love Jennifer and so did I
HLCL-1096|I asked Christina Shockey a former top aide to Michelle Obama and later Christina Reynolds had worked in the John Edwards and Obama campaign's to be her deputy
HLCL-1097|they were joined by national press secretary Brian Fallon a graduate of the acclaimed Chuck Schumer School of Communications former spokesman for the Department of Justice and Karen Finney the former MSNBC host who had first work for me in the White House
HLCL-1098|when Jennifer Christine and I sat down together for the first time I let two decades worth of frustrations with the Press pour out
HLCL-1099|I said this is going to be a rough ride but I was ready to try whatever they recommended to get off on a better foot this time
HLCL-1100|with my senior team, together we got to work building an organization that could go the distance
HLCL-1101|presidential campaigns are like startups on steroids very quickly deploy them across the country and build a sophisticated data operation largely from scratch
HLCL-1102|as a candidate you have to manage all that while maintaining a grueling campaign schedule that keeps you hundreds or thousands of miles
HLCL-1103|from headquarters nearly every day in 2008 I had a good hard-working team allowed internal rivalries to fester and didn't establish a clear chain of command until it was too late
HLCL-1104|till we came so close to winning I've all that this time we would do things differently
HLCL-1105|I was determined to have the best data the most field organizers the biggest fundraising Network and the deepest political relationships I was thrilled at Beth Jones a talented manager working at the White House agreed to be campaign Chief Operating Officer
HLCL-1106|delete our organizing and Outreach efforts I turn 23 political Pros Marlin Marshall Craig and Amanda Renteria
HLCL-1107|I also hired experience organizers to run the key early States
HLCL-1108|in addition to Matt Paul in Iowa there was my classic who had helped re-elect my friend Senator Jeanne Shaheen a New Hampshire and led my efforts to beat Trump there and November
HLCL-1109|Tammy Ruiz to victory in the Nevada caucus before moving to Colorado for the general and helping us win their two and play Middleton a long-term victory in the South Carolina primary
HLCL-1110|fuse that campaign with a spirit of innovation we got advice from Eric Schmidt the former CEO of Google and other top Tech leaders and hired Engineers from Silicon Valley Stephanie Hannah and experienced engineer became the first woman to serve as Chief technology officer on a major presidential campaign
HLCL-1111|I hired one of President Obama's former aides Teddy Goff to handle all things digital along with my longtime adviser Katie Dowd and Jenna Lowenstein from EMILY's List
HLCL-1112|the less than TekSavvy candidate but I promise to be a good sport about every Facebook Chat tweetstorm and Snapchat interview they recommended
HLCL-1113|to make sure we built the most diverse team ever assembled by Presidential can
HLCL-1114|Bernard Coleman is the first-ever chief diversity officer made sure women were half the staff and hired hundreds of people of color including for senior leadership roles
HLCL-1115|we put our headquarters in Brooklyn in the office soon teamed with idealistic sleep-deprived 20-somethings it felt like a cross between a text startup and a college dorm
HLCL-1116|I've been a part of a lot of campaigns going all the way back to 1968 and this was the most collegial and collaborative I've ever seen
HLCL-1117|so how did it go we didn't win
HLCL-1118|but I can say with zero equivocation that Mighty made me enormously proud they build a fantastic organization in the early States and help me win the Iowa caucus despite tough demographic as well as the Nevada caucus and the South Carolina primary
HLCL-1119|in the general election they recruited 50,000 more volunteers
HLCL-1120|the 2012 Obama Campaign and contacted voters 5 million more times
HLCL-1121|MyTeam absorbed punch after another and never give up never turned on one another and never stop believing in our cause
HLCL-1122|that doesn't mean there were disagreements and debates over a wide range of questions of course there were it was a landslide defeat in the New Hampshire primary or during the worst days of the email controversy
HLCL-1123|and have I mentioned that we went on to win the national popular vote by nearly 3 million
HLCL-1124|it was a terrific group of people about the senior leadership all the young men and women crowded around desks at headquarters in Brooklyn working impossible hours all the field organizers who were the heart and soul of the campaign all the advanced suitcases for 2 years organized
HLCL-1125|and staging events across the country volunteers of every age and background Americans volunteered then for any campaign in US history
HLCL-1126|my team was so dedicated people who have families and friends to move someplace new knock on doors make phone calls recruit volunteers and persuade voters relationships welcoming newborn
HLCL-1127|Communications AIDS Jesse Ferguson and Tyrone Gale kept working through difficult Cancer Treatments never losing their Devotion to the campaign or their senses of humor
HLCL-1128|some of my favorite moments out on the trail where we volunteer would come up to me as I shook hands on a rope line after a rally they'd whisper in my ear about what a great job our local organizer was doing or how welcoming our staff was two people who wanted to help and how they're into
HLCL-1129|was infectious that always made my day the fact that so many of these young people have decided to stay in politics and keep up the fight despite our loss makes me very happy and proud
HLCL-1130|having said all that of course the campaign didn't go as planned I ended up falling into many of the pitfalls I had worried about and try to avoid from the start
HLCL-1131|some of that was my own doing it was dude forces Beyond My Control
HLCL-1132|despite my intention to run like a scrappy Challenger I became the inevitable FrontRunner before I shook my first hand or gave my first speech just by virtue of sky-high expectations
HLCL-1133|the controversy over my emails quickly cast a shadow over our efforts and threw us into a defensive Crouch from which we never fully recovered
HLCL-1134|you can hear plenty more about that later in this book
HLCL-1135|but suffice to say that we headed mistake
HLCL-1136|turned into a campaign and destroying Scandal toxic mix of partisan opportunism interagency Turf battles a rash FBI director my own inability to explain
HLCL-1137|most people couldn't explain what it was really all about or how the allegations that I was a threat to National Security Square with the support I had from respected military and civilian National Security Experts including Republicans and independents but they understand a big bad
HLCL-1138|one result was that right away I was back in my usual adversarial relationship with the Press clamming up and trying to avoid got two interviews at a time when I needed to be.
HLCL-1139|using myself to the country I watch my approval numbers drop and my disapproval and distrust numbers rise as my message about all the things I wanted to do as president was blocked or overwhelmed
HLCL-1140|there were other disappointments as well in 2008 critics have slammed for not being accessible to voters in avoiding traditional grip-and-grin campaigning
