LAFB-1||party of Ku Klux Klan Riders Gallop to our home in Omaha Nebraska
LAFB-408||back then our family was destroyed in 1937 Wilfred and Hilda were old enough so that the state let them stay on their own in the big four-room house at
LAFB-410||separated that we were all of us maintain fairly close touch around Landing in school and out whenever we could get together
LAFB-411||despite the artificially created separation and distance between us we still remain very close in our feelings toward each other
LAFB-414||my brother Philbert who had already become a pretty good boxer in school was no exception
LAFB-415||I was trying to play basketball I was gangling and Tall but I wasn't very good at it too awkward
LAFB-416||in the fall of that year bilbrough entered the amateur boss that were held in Lansing Pruden Auditorium
LAFB-417||he did well surviving the increasingly tough eliminations
LAFB-418||I would go down to the gym and watch him train it was very exciting
LAFB-419||perhaps without realizing it I became secretly envious for one thing
LAFB-420||I know I could not help seeing some of my younger brother Reginald
LAFB-421||lifelong admiration for me getting siphoned off to filbert
LAFB-422||people praise filbert as a natural boxer
LAFB-423||I figured that since we belong to the same family maybe I would become one too
LAFB-425||they Mac me with a white boy a novice like myself named Bill Peterson I'll never forget him
LAFB-426||when I turn in the next amateur bouts came up
LAFB-427||all of my brothers and sisters were there watching along with just about everyone else I knew in town
LAFB-428||they were there not so much because of me but because of filbert who had begun to build up a pretty good following and they wanted to see how his brother would do
LAFB-429||walk down the aisle between the people thronging the rows of seats and climbed in the ring
LAFB-430||Bill Peterson and I were introduced and then the referee called us together and mumbled all of that stuff about fighting fair and breaking clean then the bell rang and we came out of our corners
LAFB-431||I knew I was scared but I didn't know is Bill Peterson told me later on that he was scared of me too
LAFB-432||he was so scared I was going to hurt him that he knocked me down 50 times if you did once
LAFB-433||he did such a job on my reputation in the Negro neighborhoods that I practically went into hiding
LAFB-435||when I did show my face again
LAFB-436||Negroes I knew rode me so badly I knew I had to do something
LAFB-437||but the worst of my humiliation
LAFB-438||was my younger brother Reginald attitude
LAFB-439||he simply never mentioned the fight it was the way he looked at me and avoided looking at me
LAFB-440||so I went back to the gym and I trained hard
LAFB-441||I beeped bags and skip rope and grunted and sweat it all over the place and finally I signed up to fight Bill Peterson again this time the bouts were held in his hometown of Alma Michigan
LAFB-442||the only thing better about the rematch was that hardly anyone I knew was there to see it
LAFB-443||I was particularly grateful for Reginald's absence
LAFB-444||the moment the bell rang I saw a fist then the canvas coming up and 10 seconds later the referee was saying 10 over me
LAFB-445||it was probably the shortest fight in history
LAFB-446||I lay there listening to the Full Count but I couldn't move to tell the truth I'm not sure I wanted to move
LAFB-447||that white boy was the beginning and end of my fight career
LAFB-448||a lot of times in these years later since I've become a Muslim
LAFB-449||I thought back to that fight and reflected that it was all eyes work to stop me
LAFB-450||I might Wanda Punchy not long after this I came into a classroom with my hat on I did it deliberately
LAFB-451||the teacher who was white ordered me to keep the hat on and to walk around and around the room until he told me to stop
LAFB-452||that way he said everyone can see you
LAFB-453||meanwhile will go on with class for those who are here to learn something
LAFB-454||I was still walking around when he got up from his desk and turn to the Blackboard to write something on it
LAFB-455||everyone in the classroom was looking when at this moment
LAFB-456||I passed behind his desk snapped up a thumbtack and
LAFB-457||posited it in his chair when he turned to sit back down I was far from the scene of the crime circling around the rear of the room then he hit the back and I heard him holler and caught a glimpse of him spradling up as I Disappeared through the door
LAFB-458||with my deportment record I wasn't really shocked when the decision came that I have been expelled
LAFB-459||I guess I must have had some vague idea that if I didn't have to go to school I'd be allowed to stay on with the Gohan asses and wander around town or maybe get a job if I wanted one for pocket money
LAFB-460||but I got rocked on my heels when a state man whom I hadn't seen before came and got me at the glow harnesses and took me down to court
LAFB-461||they told me I was going to a reform school
LAFB-462||I was still 13 years old but first I was going to the detention home
LAFB-463||it was in Mason Michigan about 12 miles from Landing
LAFB-464||the detention home was where all the bad
LAFB-465||boys and girls from Ingham County where held on their way to reform school waiting for their hearings
LAFB-466||the white State man was a mistermainer to Allen he was nicer to me than most of the state welfare people had been
LAFB-467||even had consoling words for the Gahanna sce's and Mrs Adcock and Big Boi all of them were crying but I wasn't
LAFB-468||with the few clothes I owned stuffed into a box we rode in his car to Mason
LAFB-469||he talked as we drove along saying that my school Mark showed that if I would just straighten up I could make something of myself
LAFB-470||he said that reform school had the wrong reputation he talked about what the word reformed meant to change and become better
LAFB-471||he said the school was really a place where boys like me could have time to see their mistakes and start a new life and become somebody everyone could be proud of
LAFB-472||Andy told me that the lady in charge of the detention home a Mrs swirling and her husband were very good people
LAFB-473||they were good people mrs. swirling was bigger than her husband
LAFB-474||I remember a big Buxom robust laughing woman and Mr swirling was thin with black hair and a black Moustache and a red face quiet and polite even to me
LAFB-475||they liked me right away to mrs. swirling showed me to my room my own room the first in my life
LAFB-476||it was one of those huge dormitory like buildings where kids in detention were kept in those days and still are in most places
LAFB-477||I discovered next with surprised that I was allowed to eat with the swirling it was the first time I eaten with white people at least with grown white people since the Seventh-day Adventist country meetings it wasn't my own exclusive privilege of course
LAFB-478||except for the very Troublesome boys and girls at the detention home who were kept locked up those who would run away
LAFB-479||have been caught and brought back or something like that all of us ate with the swirling sitting at the head of the long tables
LAFB-480||they had a white cook helper I recall Lucille Lathrop
LAFB-481||it amazes me how these names come back from a time I haven't thought about for more than 20 years
LAFB-482||Lucille treated me well to her husband's name was Dwayne Lathrop he works somewhere else but he stayed there at the detention home on the weekends with Lucille
LAFB-484||they all like my attitude and it was out of it liking for me that I soon became accepted by them as a mascot I know now
LAFB-485||they would talk about anything and everything with me standing right there hearing them the same way people would
LAFB-487||it was the same with the cook Lucille and her husband Dwayne
LAFB-488||I remember one day when Mr swirling is nice as he was came in from Lansing where he had been through the Negro section and said to mrs. swirling right in front of me
LAFB-489||I just can't see how those niggars can be so happy and be so poor
LAFB-490||he talked about how they lived in Shacks but had those big shining cars out front
LAFB-491||and Mrs swirling said me standing right there
LAFB-492||niggars are just that way that's seem always stayed with me
LAFB-493||it was the same with the other white people most of them local politicians when they would come over
LAFB-494||hitting the swirling what are their favorite parlor topics was niggars
LAFB-496||I knew they must have told him how I acted and how I worked
LAFB-497||what I am trying to say is that it just never dawned upon them that I could understand that I wasn't a pet but a human being
LAFB-498||they didn't give me credit for having the same sensitivity intellect and understanding that they would have been ready and willing to recognize in a white boy in my position
LAFB-499||but it has historically been the case with white people in their regard for black people that even though we might be with them we weren't
LAFB-500||considered of them even though they appear to have opened the door it was still closed thus they never did really see me
LAFB-502||but I was no more than vaguely aware of anything like that in my detention home years
LAFB-503||I did my little chores around the house and everything was fine
LAFB-504||and each weekend they didn't mind my catching a ride over to Lansing for the afternoon or evening
LAFB-505||if I wasn't old enough I sure was Big Enough by then and nobody ever question my hanging out even at night in the streets of the Negro section
LAFB-506||I was growing up to be even bigger than Wilford and Filbert who had begun to meet girls at the school dances and other places and introduce me to a few
LAFB-507||but the ones who seemed to like me I didn't go for and vice versa
LAFB-508||I couldn't dance a lick anyway and I couldn't see squandering my few dimes on girls
LAFB-509||so mostly I pleasured myself these Saturday night like walking around the Negro bars and restaurants
LAFB-510||the jukeboxes were wailing Erskine Hawkins Tuxedo Junction slim and slams flat foot floogie things like that
LAFB-511||sometimes big bands from New York out touring one-night-stands in the sticks would play
LAFB-512||big dances in Lansing everybody would legs would come out to see any performer Who Bore the magic name New York
LAFB-513||which is how I first heard lucky Thompson and Milt Jackson both of whom I later got to Nowell and Harlem
LAFB-514||many youngsters from the detention home when their dates came up went off to the reform school but when mine came up two or three times it was always ignored
LAFB-515||I saw a new youngsters arrive and leave I was glad and grateful I knew it was missing swirling two doing
LAFB-516||I didn't want to leave she finally told me one day that I was going to be entered in Mason Junior High School
LAFB-517||it was the only School in town no water the detention home at ever gone to school there at least while still award So I entered their seventh grade
LAFB-518||the only other Negroes there was some of the Lions children younger than I was in the lower grades
LAFB-519||I understand eyes it happened with the town's only Negroes
LAFB-520||they were as Negroes very much respected mrliance was a smart hard-working man and misses Lions was a very good woman she and my mother I had heard my mother say we're two of the four West Indians in that whole section of Michigan
LAFB-522||I was in demand I had top priority
LAFB-523||but I also benefited from the special Prestige of having the seal of approval from that very important woman about the town of Mason misses swirling nobody and Mason would have dreamed of getting on the road
LAFB-525||and I hadn't been in the school long when mrs. swirling knowing I could use spending money of my own got me a job after school washing the dishes in a local restaurant
LAFB-526||my boss there was the father of a white classmate whom I spend a lot of time with
LAFB-527||his family lived over the restaurant it was fine working there
LAFB-528||every Friday night when I got paid I'd feel at least 10 ft tall
LAFB-529||I forget how much I made but it seemed like a lot it was the first time I'd ever had any money to speak of all my own in my whole life
LAFB-530||as soon as I could afford it I bought a green suit and some shoes and it's cool
LAFB-531||buy treats for the others in my class at least as much as any of them did for me
LAFB-532||English and history with a subject I like the most my English teacher I recalled a mr. ostrowski was always giving advice about how to become something in life
LAFB-533||the one thing I didn't like about history class was that the teacher mr. Williams was a great one for Niger jokes
LAFB-534||one day during my first week at school I walked into the room and he started singing to the class as a joke
LAFB-535||Way Down Yonder in the cotton field some folks say that a Niger won't steal
LAFB-536||very funny I like history but I never thereafter had much liking for mr. Williams
LAFB-537||later I remember we came to the textbook section on negro history
LAFB-538||it was exactly one paragraph long mr. Williams last through it practically in a single breath reading aloud how the Negroes have been slaves and then
LAFB-539||greed and how they were usually lazy and dumb and shiftless he added I remember an anthropological footnote on his own telling us between last how Negroes feet was so big that when they walk they don't leave tracks they leave a hole in the ground
LAFB-540||I'm sorry to say that the subject I most dislike was mathematics I thought about
LAFB-541||I think the reason was that mathematically is no room for argument if you made a mistake that was all there was to
LAFB-543||it didn't bother my teammates all my coach at all and to tell the truth it bothered me only vaguely
LAFB-544||mine was the same psychology that make Negroes even today though it bothers them down inside keep letting the white
LAFB-545||man tell them how much progress they're making they've heard it so much they've almost gotten brainwashed into believing it or at least accepting
LAFB-546||after the basketball games they would usually be a school dance
LAFB-547||whenever our team walk into another school's gym for the dance with me among them I could feel the freeze
LAFB-548||it would start to ease as they saw I didn't try to mix but stuck close to someone on our team or kept to myself
LAFB-550||it was some kind of psychic message not just from them but also From Within Myself
LAFB-551||I am proud to be able to save that much for myself at least
LAFB-552||I was just standing around and smile and talk and drink punch and eat sandwiches and then I would make some excuse and get away early
LAFB-554||I used to spend a lot of time thinking about a peculiar thing
LAFB-555||many of these Mason white boys like the ones at the Lansing school especially if they knew me well and if we hung out a lot together
LAFB-556||would get me off in a corner somewhere and push me to proposition certain white girls sometimes their own sisters they would tell me that they already had the girls themselves including their sisters or that they were trying to and couldn't
LAFB-557||later on I came to understand what was going on
LAFB-558||if they could get the girls into the position of having broken the terrible taboo by slipping off with me somewhere they would have that hammer over the girls heads to make them give into them
LAFB-559||it seemed that the white boys felt that I being a negro just naturally knew more about romance or sex than they did that I instinctively knew more about what to do and say what their own girls
LAFB-560||I never did tell anybody that I really went for some of the white girls and some of them went for me too
LAFB-561||they let me know in many ways but anytime we found ourselves in any close conversations or potentially intimate situation always there would come up between us some kind of a wall
LAFB-562||the girls I really wanted to have were a couple of negro girls Wilfred or filbert had introduced me to in Lansing but
LAFB-563||these girls somehow I like the nerve
LAFB-564||from what I heard and saw on the Saturday night I spent hanging around in the Negro District
LAFB-565||I knew the race mixing went on in Lansing
LAFB-566||but strangely enough this didn't have any kind of effect on me
LAFB-567||every negro in Lansing I guess knew how white men would drive along certain streets in the black neighborhoods and pick up negro streetwalkers who patrolled the area and on the other hand
LAFB-568||there was a bridge that separated the Negro and polish neighborhoods where white women would drive or walk across to pick up negro man who would hang around in certain places close to the bridge waiting for them
LAFB-569||lansing's white women even in those days what famous for chasing negro man
LAFB-570||I didn't get appreciate how most whites occurred to the Negro this reputation for prodigious sexual
LAFB-571||they're in Lansing I never heard of any trouble about this mixing from either side
LAFB-572||I imagine that everyone simply took it for granted as I did
LAFB-573||anyway from my experience as a little boy at the Lansing school I had become fairly Adept at avoiding the white girl issue at least for a couple of years yet
LAFB-574||then in the second semester of the 7th grade I was elected class president
LAFB-575||it surprised me even more than other people
LAFB-577||that he's wasting his time straining to integrate
LAFB-578||I know from personal experience I tried hard enough
LAFB-579||Malcolm we're just so proud of you mrs. swirling exclaimed when she heard about my election it was all over the restaurant where I work even the state Man Maynard Allen who still drop by to see me once in awhile had a word of praise
LAFB-580||he said he never saw anybody proved better exactly what reform meant
LAFB-581||I really liked him except for one thing he now and then would drop something that hinted my mother had let us down somehow
LAFB-582||fairly often I would go and visit the Lions has and they acted as happy as though I was one of their children
LAFB-583||and it was the same warm feeling when I went into Lansing to visit my brothers and sisters and the Gohan us'
LAFB-584||I remember one thing that marred this time for me
LAFB-585||the movie Gone With the Wind when it played in Mason I was the only negro in the theater and when Butterfly McQueen went into her act
LAFB-586||I felt like crawling under the rug
LAFB-587||every Saturday just about I would go into Lansing
LAFB-588||I was going on 14 now Wilford and Hilda still lived out by themselves at the old family home
LAFB-589||Hilda kept the house very clean it was easier than my mother's plight with eight of us always underfoot of running around
LAFB-590||Wilfried work wherever he could and he still read every book he could get his hands on
LAFB-591||Gilbert was getting a reputation as one of the better amateur fighters in this part of the state everyone really expected that he was going to become a professional
LAFB-592||Reginald and I after my fighting Fiasco had finally gotten back on good terms
LAFB-593||it made me feel great to visit him and Wesley over it misses Williams's
LAFB-594||eyeball handedly give them each a couple of dollars to just stick in their pockets to have something to spend
LAFB-595||and Lavon and Robert were doing okay to over at the home of the West Indian lady mrs. Maguire I'd give them about a quarter apiece it made me feel good to see how they were coming along
LAFB-596||none of us talked much about our mother and we never mentioned Our Father
LAFB-597||I guess none of us knew what to say we didn't want anyone else to mention our mother either I think
LAFB-598||from time to time though we would all go over to Kalamazoo to visit her most often we older ones went singly
LAFB-599||bored with something you didn't want to have to experience with anyone else present even your brother or sister
LAFB-600||during this. The visit to my mother that I most remember was toward the end of that seventh grade year when our fathers grown Daughter by his first marriage Ella came from Boston to visit us
LAFB-601||Wilfred and Hilda had exchanged some letters with a
LAFB-602||and I at Hilda's suggestion had written to her from the swirling and we were all excited and happy when her letter told us that she was coming to Lansing
LAFB-603||I think the major impact of Ella's arrival at least upon me was that she was the first really proud black woman I had ever seen in my life
LAFB-604||she was plainly proud of her very dark skin this was unheard of among Negroes in those days especially in Lansing
LAFB-605||I hadn't been sure just what day she would come and then one afternoon I got home from school and there she was
LAFB-606||she hugged me stood me away look me up and down
LAFB-607||a commanding woman may be even bigger than mrs. swirling
LAFB-608||Ella wasn't just black but like our father she was jet black
LAFB-609||the way she sat moved thought did everything bespoke somebody who didn't God exactly what she wanted
LAFB-610||this was the woman my father had boasted of so often but having brought so many of their family out of Georgia to Boston
LAFB-611||own some property he would say she was in society
LAFB-613||all that I had heard was reflected in Ellis appearance and bearing
LAFB-614||I had never been so impressed with anybody
LAFB-615||she was in her second marriage her first husband had been a doctor
LAFB-616||Ella asked all kinds of questions about how I was doing
LAFB-617||she'd already heard from Wilfred and Hilda about my election as class
LAFB-618||president she asked especially about my grades and I ran and got my report cards
LAFB-619||I was then one of the three highest in class
LAFB-620||Ella praised me I asked her about her brother Earl and her sister Mary
LAFB-621||she had the exciting news that Earl was a singer with abandoned Boston he was singing under the name of Jimmy Carlton Mary was also doing well
LAFB-622||Ella told me about other relatives from that branch of the family A number of them I'd never heard of she had helped them up from Georgia they and their turn had helped up others we Littles have to stick together Ella said
LAFB-623||it's reeled me to hear her say that and even more the way she said
LAFB-624||I had become a mascot our branch of the family was split two pieces I had just about forgotten about being a little
LAFB-625||in any family since she said that different members of the family were working in good jobs and some even had small businesses going most of them were homeowners
LAFB-626||when Ella suggested that all of us Little's in Lansing accompany her on a visit to our mother we were all grateful
LAFB-627||we all felt that if anyone could do anything that could help our mother that might help her get well and come back it would be Ella anyway all of us for the first time together went with Ella to Kalamazoo
LAFB-628||our mother was smiling when they brought her out she was extremely surprised when she saw Ella
LAFB-629||they made a striking contrast the thin near white woman in the big black one hugging each other
LAFB-630||I don't remember much about the rest of the visit except that there was a lot of talking and Ella had everything in hand
LAFB-631||and we left with all of us feeling better than we ever had about the circumstances
LAFB-632||I know that for the first time I felt as though I had visited with someone who had some kind of physical illness that had just lingered on
LAFB-634||I jumped at the chance that summer of 1940 in Lansing I caught the Greyhound bus for Boston with my cardboard suitcase and wearing my green suit
LAFB-635||if someone had hung assign hick around my neck I couldn't have looked much more obvious
LAFB-636||they didn't have the turnpike's then the bus stopped at what seemed
LAFB-637||recorder and cow patch from my seat in you guessed it the back of the bus
LAFB-638||I got out of the window at White Man's America rolling passed for what seemed a month but must have been only a day and a half
LAFB-639||when we finally arrived element me at the terminal and took me home
LAFB-640||the house was on waumbek Street in The Sugarhill section of Roxbury the Harlem of Boston
LAFB-641||I met Ella second husband Frank who was now a soldier and her brother Earl the singer who called himself Jimmy Carlton
LAFB-642||and Mary who is very different from her older sister
LAFB-644||Ella was busily involved in dozens of things she belong to I don't know how many different clubs she was a Leading Light of local so-called black society
LAFB-645||I saw and met a hundred black people there whose big city talk and weighs left my mouth hanging open
LAFB-647||Neon Lights nightclubs pool halls Barth the cars they drove restaurants made the streets smell Rich greasy down-home black cooking
LAFB-648||jukeboxes Blaire Erskine Hawkins Juke Ellington cootie Williams dozens of others if somebody had told me then that someday I know them all
LAFB-649||personally I found it hard to believe
LAFB-650||the biggest bands like these played at the Roseland State Ballroom on Boston's Massachusetts Avenue 1920 grows the next night for whites
LAFB-651||I saw for the first time occasional black and white couple strolling around on and on and on Sundays when Ella Mario somebody took me to church I saw churches for black people such as I have never seen
LAFB-652||they were many times find it in the white church I attended back in Mason Michigan
LAFB-653||they are the white people just sat and worship with words but the Boston Negroes like all other Negroes I've ever seen at church through their souls and bodies holy into worship
LAFB-654||two or three times I wrote letters to Wilfred intended for everybody back in Lansing I said I'd try to describe it when I got back but I found I couldn't
LAFB-655||my restlessness with Mason and for the first time in my life
LAFB-657||the white people classmates the swirling the people at the restaurant where I worked notice the change they said you're acting so strange you don't seem like yourself Malcolm what's the matter
LAFB-658||I kept close to the top of the class though the topmost Scholastic standing I remember kept shifting between me a girl named Audrey slaw and a boy named Jimmy cotton
LAFB-659||it went on that way as I became increasingly restless and Disturbed through the first semester and then one day just about when those of us who had passed were about to move up to 8A from which we would enter Heise
LAFB-660||will the next year something happened which was to become the first major turning point of my life
LAFB-661||somehow I happen to be alone in the classroom with mr. ostrosky my English teacher
LAFB-662||he was a tall rather reddish white man and he had a thick mustache
LAFB-663||I had gotten some of my best marks under him and he had always made me feel that he liked me
LAFB-664||he was as I have mentioned a natural-born advisor about what you want to read to do or think about any and everything
LAFB-665||we used to make unkind jokes about him why was he teaching in Basin instead of somewhere else getting for himself some of the success in life that he kept telling us how to get
LAFB-666||I know that he probably meant well and what he happened to advise me that day I doubt that he meant any harm it was just in his nature as an American white man
LAFB-667||I was one of his top students one of the school's top students but all he could see for me with the kind of future in your place that almost all white people see for black people
LAFB-668||he told me Malcolm you off to be thinking about a career have you been giving it thought
LAFB-669||the truth is I hadn't I never have figured out why I told him well yes sir I've been thinking I'd like to be a lawyer
LAFB-670||Lansing certainly had no negro lawyers or doctors either in those days the holdup an image I might have aspired to
LAFB-671||all I really knew for certain was that a lawyer didn't wash dishes as I was doing
LAFB-672||mr. ostrowski looks surprised I remember and leaned back in his chair and clasped his hands behind his head
LAFB-673||it kind of has smiled and said Malcolm one of life's first needs is for us to be realistic
LAFB-674||don't misunderstand me now we all hear like
LAFB-675||do you know that but you got to be realistic about being a Niger
LAFB-676||a lawyer that's no realistic goal for a Niger
LAFB-677||you need to think about something you can be
LAFB-678||you're good with your hands making things everybody admires your carpentry shop work why don't you plan on carpentry people like you as a person you get all kinds of work
LAFB-679||the more I thought afterwards about what he said The more uneasy it made me it just kept reading around in my mind
LAFB-680||what made it really begin to disturb me was mr. ostrowski advice to others in my class all of them white
LAFB-681||most of them had told him they were planning to become farmers
LAFB-682||but those who wanted to strike out on their own to try something new he had encouraged some mostly girls wanted to be teachers
LAFB-684||it was a surprising thing that I had never thought of it that way before but I realize that whatever I wasn't I was smarter than nearly all of those white kids
LAFB-685||but apparently I was still not intelligent enough in their eyes to become whatever I wanted to be
LAFB-686||it was then that I began to change
LAFB-687||inside I drew away from white people I came to class and I answered when called upon it became a physical strain simply to sit in mr. ostrosky class
LAFB-688||where Niger had slipped off my back before wherever I heard it now I stopped
LAFB-689||and look at whoever said it and they look surprised that I did
LAFB-690||I quit hearing so much Niger and what's wrong which was the way I wanted
LAFB-691||nobody including the teachers could decide what it come over me I knew I was being discussed
LAFB-692||in a few more weeks it was that way to at the restaurant where I work washing dishes and that the swirling
LAFB-693||one day soon after mrs. swirling called me into the living room and there was the state Man Maynard Allen
LAFB-694||I knew from their faces that something was about to happen
LAFB-695||she told me that none of them could understand why after I have done so well in school and on my job and living with them and after everyone in Mason had come to like me
LAFB-696||I had lately begun to make them all feel that I wasn't happy there anymore
LAFB-697||she said she felt it was no need for me to stay at the detention home any longer and that Arrangements
LAFB-698||made for me to go and live with the Lyons Family who liked me so much
LAFB-699||she stood up and put out her hand I guess I've asked you a hundred times Malcolm do you want to tell me what's wrong
LAFB-700||I shook her hand and said nothing this is swirling
LAFB-701||then I went and got my things and came back down
LAFB-702||at the living room door I saw her wiping her eyes I felt very bad
LAFB-703||I thanked her and went out in front to mr. Allen who took me over to the Lions is
LAFB-704||mr. and mrs. Lyons and their children during the two months I live with them while finishing the eighth grade also tried to get me to tell them what was wrong but somehow I couldn't tell them either
LAFB-705||I went every Saturday to see my brothers and sisters in Lansing and almost every other day I wrote to Ella in Boston
LAFB-706||not saying why I told Ella that I wanted to come there and live
LAFB-707||I don't know how she did it but she arranged for a
LAFB-708||custody of me to be transferred from Michigan to Massachusetts and the very weak I finished the eighth grade I again boarded the Greyhound bus ft Boston
LAFB-709||I thought about that time a lot since then no physical move in my life has been more pivotal or profound and its repercussions
LAFB-710||if I had stayed on in Michigan I would probably have married one of those negro girls I knew and liked in Lansing
LAFB-711||I might have become one of those State Capitol building shoeshine boys or Lansing Country Club waiter or gotten one of the other menial jobs which in those days a month Lansing Negroes would have been considered successful
LAFB-712||even become a carpenter whatever I have done since then I have driven myself
LAFB-713||to become a success at it I've often thought that if Mr ostrowski had encouraged me to become a lawyer
LAFB-715||all Praises due to Allah that I went to Boston when I did
LAFB-716||if I hadn't I'd probably still be a brainwashed black Christian
LAFB-717||chapter 3 home boy I looked like Li'l Abner Mason Michigan was written all over me
LAFB-718||my kinky reddish hair was cut his style and I didn't even use grease in it
LAFB-719||my green suits coat sleeve stopped above my wrists the pants leg showed 3in of socks
LAFB-720||just a shade lighter green than the suit was my narrow collared three-quarter-length Lansing department store top coat
LAFB-721||my appearance was too much for even Ella
LAFB-722||but she told me later she had seen countrified members of The Little Family come up from Georgia and even worse shape than I was
LAFB-723||Ella had fix up a nice little upstairs room for me
LAFB-724||and she was truly a Georgia negro woman when she got into the kitchen with her pots and pans
LAFB-725||give me the kind of cook who would keep up your plate with such as ham hock greens black-eyed peas fried fish cabbage sweet potatoes grits and gravy and corn bread
LAFB-726||in the more you put away the better she felt
LAFB-727||I worked out at Ella's kitchen table like there was no tomorrow
LAFB-728||Ella still seem to be as big black outspoken and impressive a woman as she had been in Mason and Lansing
LAFB-729||only about two weeks before I arrived she could split up with her second husband the soldier Frank whom I had met the previous summer
LAFB-730||but she was taking it right in stride
LAFB-731||I could see you though I didn't say how any average man would find it almost impossible to live for very long with a woman whose every Instinct was to run everything and everybody she had anything to do with including me
LAFB-732||about my second day they're in Roxbury Ella told me that you didn't want me to start hunting for a job right away like most newcomer Negroes did
LAFB-734||thing about the city they were living in Ella said she'd help me find a job when it was time for me to go to work
LAFB-735||so I went walking around the neighborhood the Wambach and Humboldt Avenue Hill section of Roxbury which is something like Harlem Sugar Hill where I later live
LAFB-736||I saw those Roxbury Negroes acting and living differently from any black people I've ever dreamed of in my life
LAFB-737||this was the snooty black neighborhood they called themselves the 408 down their noses at the Negroes of the black ghetto or so-called Town section where Mary my other half sister live
LAFB-739||I know now of course that what I was really seeing was only a big city version of those successful negro bootblacks and janitors back in Lansing
LAFB-740||the only difference was that the ones in Boston have been brainwashed even more thoroughly
LAFB-741||they prided themselves on being incomparably more cultured cultivated dignified and better off than their black brother and down in the ghetto which was no further away than you could throw a rock
LAFB-742||under the pitiful misapprehension that it would make them better these Hill Negroes were breaking their backs trying to imitate white people
LAFB-743||any black family that had been around Boston long enough to own the home they lived in was considered among the Hill Elite
LAFB-744||it didn't make any difference that they had to rent out rooms to make ends meet
LAFB-745||Ben the native-born new englanders among them look down upon recently migrated Southern homeowners who lived next door like Ella
LAFB-746||and a big percentage of the Hill dwellers were in Ella's category Southern Strivers and scramblers and West Indian Negroes home both the new englanders and the southerners called black Jews
LAFB-747||usually it was the southerners in the west Indians who not only managed to own the places where they lived but also at least one other house which they rent it is income property
LAFB-748||the snooty new englanders usually own less than that
LAFB-749||in those days on the hill any who Proclaim professional status teachers preachers practical nurses also considered themselves Superior
LAFB-750||foreign diplomats could have modeled their conduct on the way negro Postman Pullman Porters and dining car waiters of Roxbury acted striding around as if they were wearing top hats and cutaways
LAFB-751||I guess that eight out of ten of the Hill Negroes of Roxbury despite the impressive-sounding job titles they affected
LAFB-752||actually worked as menials and servants he's in banking or he's in
LAFB-753||Carrie's it sounded as though they were discussing a Rockefeller or a melon and not some gray-headed dignity posturing Bank janitor or bondhouse messenger
LAFB-754||I was an old family was the euphemism used to dignify the professions of white folks cooks and Maids who talked so effectively among their own kind in Roxbury that you couldn't even understand
LAFB-755||I don't know how many 40 and 50 year-old errand boys went down the hill dressed like ambassador's in black suits and white collars to downtown jobs in government in finance or in law
LAFB-756||it has never cease to amaze me how so many Negroes then and now could stand the indignity of that kind of self-delusion
LAFB-757||soon I rained out of Roxbury and began to explore Boston Proper
LAFB-758||historic buildings everywhere I turned and plaques and markers and statues for famous events in men
LAFB-759||one statue in the Boston Commons astonished me
LAFB-760||a negro named Crispus Attucks who had been the first man to fall in the Boston Massacre I had never known anything like that
LAFB-761||I roamed everywhere in One Direction I walked as far as Boston University another day I took my first subway ride
LAFB-762||when most of the people got off I followed it was Cambridge and I circled all around in the Harvard University campus
LAFB-763||somewhere I had already heard of Harvard though I didn't know much more about it
LAFB-764||nobody that they could have told me I would give an address before the Harvard Law School Forum some twenty years later
LAFB-765||I also did a lot of exploring downtown why a city would have two Big Railroad stations North Station and South Station I couldn't understand
LAFB-766||at both of the station's I stood around and watched people arrive and leave and I did the same thing at the bus station where Ella had met me
LAFB-767||my wanderings even let me down along the piers and docks where I read plaques telling about the old sailing ships that used to put into Port there
LAFB-768||in a letter to Wilfred Hilda filbert and Reginald back in Lansing
LAFB-769||I told them about all of this at about the winding narrow cobblestone streets and the houses that jammed up against each other
LAFB-770||downtown Boston I wrote them had the biggest stores I'd ever seen and white people's restaurants and hotels I made up my mind that I was going to see every movie that came to the Fine air-conditioned theaters
LAFB-771||on Massachusetts Avenue next door to one of them the Lowes State Theater was the huge exciting Roseland State Ballroom big posters out front advertised the nationally famous bands white and negro that had play they're coming next week
LAFB-772||when I went that first time was Glenn Miller hi remember thinking how Dilly the whole evenings music and Mason High School dances had been Glenn Miller's
LAFB-773||Kurds what wouldn't that crowd have given I wanted to be standing where Glenn Miller's band was actually going to play
LAFB-774||I didn't know how familiar with Roseland I was going to become
LAFB-775||Ella began to grow concerned because even when I had finally had enough sightseeing I didn't stick around very much on the hill
LAFB-777||play it always looked up to me as if I were considerably older
LAFB-778||are weekends back in Lansing where I go to get away from the white people in Mason I'd hung around in the Negro part of town with Wilfred and Phil Bridge set
LAFB-779||though all of them were several years older than me I was bigger and I actually look
LAFB-780||older than most of them I didn't want to disappoint or upset Ella but despite her advice I began going down into the town ghetto section
LAFB-781||that world of grocery stores walk-up Flats cheap restaurants poolrooms bars storefront churches in pawn shops seem to hold a natural lower for me
LAFB-782||Not only was this part of Roxbury more exciting but I felt more relaxed among Negroes were being their natural selves and not putting on airs
LAFB-783||even though I did live on the hill my instincts were never and still aren't to feel myself better than any other negro
