BKOB-0||to Michelle my love and life partner
BKOB-857||you're going to be a daddy I was going to be a daddy
BKOB-858||Apple of Joy the month of followed were
BKOB-859||I lived up to every cliche of the expectant father attending Lamaze classes trying to figure out how to assemble a crib reading the book What to Expect When You're Expecting With Pen in Hand to underline key passages
BKOB-860||around 6 a.m. on the 4th of July Michelle poke me and said it was time to go to the hospital
BKOB-861||I fumbled around and gather the bag outfit by the door
BKOB-862||the seven hours later was introduced to Malia Ann Obama 8 lb and 15 ounces of perfection
BKOB-863||among her many talents are new daughter had good time
BKOB-864||but no session no classes and no big pending cases to work on I can take the rest of the summer off
BKOB-865||a night owl by Nature I'm in the late shift so Michelle could sleep
BKOB-866||resting Milian MI5 to read to her as she looked up a big questioning eyes are dozing as she lay on my chest a burping a good poop behind us so warm and Serene
BKOB-867||I thought about the generations of men who would miss such moments
BKOB-868||I thought about my own father was absent so done more to shape me than the brief time I spent with him and I realized there was no place on Earth I would rather be
BKOB-869||but the trains again Parenthood eventually took their toll
BKOB-870||after Blissful few months the show went back to work and I went back to juggling 3 jobs
BKOB-871||we were lucky to find a wonderful man who cared for Malia during the day but the addition of a full-time employee to our family Enterprise squeeze the budget card
BKOB-872||Michelle bore the brunt of all this shuffling between mothering and work unconvinced that she was doing either job well
BKOB-874||we began arguing more really late at night when the two of us were thoroughly drain
BKOB-875||this isn't what I signed up for Barack Michelle said at one point I feel like I'm doing all by myself
BKOB-876||I was hurt by that if I wasn't working I was home
BKOB-877||if I was home and I forgot to clean up the kitchen after dinner it was because I had to stay up late writing exam or fine-tuning a brief
BKOB-878||but even if I mounted my defense I knew I was falling short
BKOB-879||inside Michelle anger lay more difficult truth
BKOB-880||was trying to deliver a lot of things to a lot of different people
BKOB-881||I'll take the hard way just like she predicted back when her burdens were lighter or personal responsibilities not so andmesh
BKOB-882||I thought now about the promise I made to myself after Maliya was born
BKOB-883||my kids would know me the big rub knowing my love for them feeling that I had always put them first
BKOB-884||sitting in the dim light of our living room Michelle no longer seemed angry just sad
BKOB-885||was worth it I don't recall what I said in response
BKOB-886||I know I couldn't admit to her but I was no longer score
BKOB-887||it's hard in retrospect I understand why you did something stupid
BKOB-888||I don't even small stuff ruining your favorite Thai because you tried to eat soup in the car or throwing out your back because you got talked into playing tackle football on Thanksgiving
BKOB-889||I mean dumb choices in the wake of considerable deliberation
BKOB-890||those times when you identify a real problem in your life
BKOB-891||analyze it and then with utter confidence come up with precisely the wrong answer
BKOB-892||that was me running for congress after numerous conversations I had to concede the Michelle was right to question whether the difference I was making in Springfield justify the sacrifice
BKOB-893||rather than lightening my load though I went in the opposite direction deciding I needed to step on the gas and secure
BKOB-894||a more influential office around the same time veteran Congressman Bobby Rush the former black panther challenge Mayor Daley in the 1999 election then got trapped doing poorly even in his own
BKOB-895||I thought Russia's campaign had been uninspired without a rash now other than the Vape promised to continue Harold Washington's Legacy
BKOB-896||this was how he operated Congress I figured I could do better
BKOB-897||after talking it over with a few trusted advisors I had my staff jerry-rig an in-house Pole to see whether race against Russia would be viable
BKOB-898||are informal sampling gave us a shot using the results I was able to persuade several of my closest friends to help Finance the race
BKOB-899||and then despite warnings for more experienced political hands that Rush was stronger than he looked and despite Michelle's incredulity that I would somehow think she'd feel better with me being in Washington instead of Springfield
BKOB-900||I announce my candidacy for congressman from the first
BKOB-901||special district almost from the start the race was a disaster
BKOB-902||a few weeks in the Rumblings from the rest camp begin
BKOB-903||Papa's not spider she's back by white folks
BKOB-904||he's a Harvard elitist and that name is here
BKOB-905||having raised enough money to commission a proper pole I discovered the body had 90 percent name recognition in the district and a 70 percent approval rating was only 11 percent of Voters even knew who I was
BKOB-906||shortly thereafter Bobby's adult son was tragically shot and killed a listing on outpouring of sympathy
BKOB-907||I effectively suspended my campaign for a month and watch television coverage of the funeral taking place of my own church with Reverend Jeremiah Wright preside
BKOB-908||already on thin ice at home I took the family to Hawaii for an abbreviated Christmas break only to have the governor call a special legislative session to vote on a gun-control measure I support it
BKOB-909||with eighteen-month-old Malia s unable to fly I missed the boat and was roundly flayed by the Chicago press
BKOB-910||I lost by 30 points about politics I sometimes offer this story is an object lesson of what not to do
BKOB-911||usually at throwing a PostScript describing how a few months after my loss A friend of mine worried that I'd fallen into a funk insisted that I join him at the 2000 Democratic National Convention in LA
BKOB-912||you didn't get back on the horsey set but when I landed at LAX and try to rent a car I was turned down because my American Express card was over its limit
BKOB-913||I managed to get myself to the Staples Center but then learned that the credential my friend at secured for me didn't allow entry to the convention floor which left me to haplessly circle the perimeter and watch the festivities on mounted TV screen
BKOB-914||finally after an awkward episode later that evening and wish my friend couldn't get me into
BKOB-915||party he was attending I took a cab back to the hotel slept on the couch and his sweet and flew back to Chicago just as algor was accepting the nomination
BKOB-916||it's a funny story especially in light of where I optimally ended up
BKOB-917||it speaks I tell my audience to the unpredictable nature of politics and the necessity for resilience
BKOB-918||what I don't mention is my dark mood on that flight back
BKOB-919||I was almost fourtybroke coming off a humiliating defeat and with my marriage strain
BKOB-920||I felt for perhaps the first time in my life that I've taken a wrong turn
BKOB-921||whatever reservoirs of energy and optimism I thought I had whatever potential I'd always banked on have been used up on a Fool's errand
BKOB-922||worse I recognize been running for congress I've been driven not by some selfless dream of changing the world
BKOB-923||rather by the need to justify the choices I'd already made
BKOB-924||or to satisfy my ego
BKOB-925||well my Envy of those with achieved what I had not
BKOB-926||in other words I become the very thing that has a younger man I've warned myself against
BKOB-927||I'd become a politician and not a very good one at that
BKOB-928||chapter 3 after getting dropped by Bobby Rush I allowed myself a few months to mow and lick my wounds before deciding that I had to reframe my priorities and get on with things
BKOB-929||I told Michelle I needed to do better by her
BKOB-930||we have new baby on the way and even though I was still gone more than she would have preferred she at least noticed the effort I was making
BKOB-931||schedule my meetings in Springfield so that I'd be home for dinner more often
BKOB-932||I tried to be more punctual and more present
BKOB-933||and on June 10th 2001 not quite three years after Malia's birth
BKOB-934||we experience the same Blaster Joy the same
BKOB-935||when Sasha ride plump and lovely as her sister had been
BKOB-936||thick black curls that were impossible to resist
BKOB-937||for the next two years I let a quieter life
BKOB-938||small satisfactions content with the balance side seemingly struck
BKOB-939||I relished wriggling Malia into her first ballet tights are grasping her hand as we walk to the park
BKOB-940||watching baby Sasha laugh and laugh as I nibbled her feet
BKOB-941||listen to Michelle's breastflow forehead resting gift my shoulder is she drifted out to sleep in the middle of an old movie
BKOB-942||I rededicated myself to my work in the state senate and Savor the time spent with my students at the law school
BKOB-943||epic serious look at our finances and put together a plan to pay down our debts
BKOB-944||inside the floor rhythms of my work and the pleasures of fatherhood I began to consider options for Life After politics
BKOB-945||craps teaching and writing full-time for returning tilapia
BKOB-946||or applying for job at a local charitable Foundation as my mother had once imagined I do
BKOB-947||in other words following my ill-fated run for Congress
BKOB-948||experienced a certain letting go if not of my desire to make a difference in the world then at least of the insistence that had to be done on a larger stage
BKOB-949||but might have begun is a sense of resignation and whatever limits fate had imposed on my life came to feel more like gratitude for the Bounty it Authority delivered
BKOB-950||two things however kept me from making a clean break from politics
BKOB-952||when does our Democrats could reverse the Republican gerrymandering of the previous decade and vastly better the odds that Senate Democrats would be in the majority after the 2002 election
BKOB-953||I knew that with one more term I'd finally get a chance to pass some Bill
BKOB-954||deliver something meaningful for the people I represent it and perhaps and my political career on a higher note when I was currently on
BKOB-955||s factor was an instinct rather than an event
BKOB-956||being elected I tried to spend a few days each summer visiting various colleagues in their home districts across Illinois
BKOB-957||usually I go with my cheese Saturday Dan Shulman the former upei reporter with big glasses Boundless Energy and a Foghorn voice
BKOB-958||which are golf clubs a map than a couple of sets of clothes in the back of my Jeep and head south or West Winding our way that Rock Island or pickneyville Alton or Carbondale
BKOB-959||Dan was Mikey political advisor a good friend and an ideal road trip companion
BKOB-960||easy to talk to perfectly fine with silence and he shared my habit of smoking in the car
BKOB-961||he also had an encyclopedic knowledge of State politics
BKOB-962||first time we made the trip I could tell he was a little nervous about how folks downstate might react to a black lawyer from Chicago with an Arab sounding name
BKOB-963||no fancy shirts instructor before we left
BKOB-964||I don't have fancy shirts I said good just polos and khakis
BKOB-965||got it despite dance worries but I'd be out of place
BKOB-966||what struck me most during our travels without familiar everything felt whether we were at a county fair or Union Hall front porch on someone's Farm
BKOB-967||in the way people describe their families for their jobs
BKOB-968||and their modesty and their hospitality and their enthusiasm for high school basketball
BKOB-969||and the food they serve fried chicken and baked beans and Jell-O molds
BKOB-970||and then my heard echoes to my grandparents
BKOB-971||my mother Michelle's mom and dad
BKOB-972||same value same hopes and dreams
BKOB-973||excursions became more sporadic once my kids were born
BKOB-974||simple recurring inside they offered stayed with me
BKOB-975||as long as the residence of my Chicago district and districts downstate remain strangers to one another I realized
BKOB-976||a politics would never truly change it would always be too easy for politicians to feed the stereotypes that pitted black against white immigrant against native-born rural interests against those of City
BKOB-977||if on the other hand a campaign challenge America's raining political assumptions about how Divided We Were
BKOB-978||well then just maybe it would be possible to build a new covenant between its citizens
BKOB-979||in Fighters would no longer be able to play one group against another
BKOB-980||legislators might be freed from defining their constituents interests and their own so narrowly
BKOB-981||the media might take notice and examine issues based not on which side won or lost but on whether our common goals were met
BKOB-982||ultimately wasn't this what I was after politics Abridged America's racial ethnic and religious divides as well as the many strands of my own life
BKOB-983||maybe I was being unrealistic maybe such divisions were too deeply entrenched
BKOB-984||no matter how hard I tried to convince myself otherwise I couldn't shake the feeling that it was too early to give up on my deepest convictions
BKOB-985||much as I tried to tell myself I was done or nearly done with political life
BKOB-986||I know in my heart that I wasn't ready to let go
BKOB-987||they gave the future more thought one thing became Queen
BKOB-988||kind of bridge building politics I imagined wasn't suited to a congressional race
BKOB-989||promise structural matter how district lines were drawn
BKOB-990||in an overwhelmingly black District like the one I lived in in a community that has long been battered by discrimination and neglect
BKOB-991||the test for politicians would more often than not be defined in racial terms just as it was in many white World districts that felt left behind
BKOB-992||how well will you stand up to those who are not like us motor that those with taking advantage of us
BKOB-993||look down on us you can make a difference from such a narrow political base with some seniority
BKOB-994||you could secure better services for constituents bring a big project or two back to your home district and by working with Allies try to influence the national debate
BKOB-995||that would be enough to lift the political constraints the Minnesota code to deliver Health Care to those who most needed it or better schools for poor kids or jobs where there were none
BKOB-996||the same constraints the Bobby Rush labored under everyday
BKOB-997||the really shake things up I realized I needed to speak to an
BKOB-998||for the widest possible audience and the best way to do that
BKOB-999||what's a run for Statewide office white for example the US Senate
BKOB-1000||I think back now on the brashness this year of me wanting to launch a US Senate race fresh as I was off a responding to feet
BKOB-1001||it's hard not to admit the possibility that I was just desperate for another shot like an alcoholic rationalizing one last breath
BKOB-1002||said that's not how it's felt instead of I rolled ID around my head
BKOB-1003||experienced a great clarity not so much that I would win but then I could win
BKOB-1004||and if I did when I could have a big impact
BKOB-1006||like a running back spots an opening at the line of scrimmage and knows that if he can get to that whole fast enough and breakthrough don't be nothing but open field between him in the endzone
BKOB-1007||along with Clarity came a parallel realization
BKOB-1008||if I didn't pull it off it would be time to leave politics
BKOB-1009||and so long as I've given it my best effort I could do so without regret
BKOB-1010||quietly over the course of 2002 I began to test the proposition
BKOB-1011||looking at Belmar political landscape I saw that the notion of a little-known black state legislator going to the US Senate wasn't totally farfetched
BKOB-1012||several African Americans who won Statewide office before including former US senator Carol Moseley Braun
BKOB-1013||The Talented but erratic politician whose Victory had Electrify the country before she was dinged up by series of self-inflicted wounds involving Financial ethics
BKOB-1014||meanwhile the Republican who beating her Peter Fitzgerald was a wealthy Banker whose sharply conservative views made him relatively unpopular across our increasingly Democratic state
BKOB-1015||I begin by talking to a trio of my state senate poker buddies Democrats Terry link Denny's
BKOB-1016||Gibson Larry wants to see whether they thought I could compete in the white working-class and roll enclaves they represent
BKOB-1017||from what they've seen during my visit I thought I could and all agreed to support me if I ran
BKOB-1018||go to the number of white Progressive elected officials along Chicago's lakefront and a handful of independent Latino legislators as well
BKOB-1019||I have Jeffy Junior if he had any interest in running and he said no adding that he was prepared to lend me his support
BKOB-1020||Congressman Danny Davis the genial third black Congressman in the old or delegation signed onto
BKOB-1021||I can hardly fault Bobby Rush for being less enthusiastic
BKOB-1022||most important was email jumps now poised to be State Senate President than hence one of the three most powerful politicians in Illinois
BKOB-1023||at a meeting in his office I pointed out that not a single current u.s. Senator was asking American and at the policies that we bought for together in Springfield really could use a champion in Washington
BKOB-1024||I added but if you were to help get one of his own elected to the US Senate it would surely golf of the Old Guard white Republicans in Springfield who he felt had always told him sure
BKOB-1025||which was a rationale I think he particularly liked with David Axelrod I figure different Tech
BKOB-1026||a media consultant who previously been a journalist and whose clients included Harold Washington former US senator Paul Simon and mayor Rich Daley
BKOB-1027||accident belt the national reputation for being smart tough and skilled at me
BKOB-1028||I admired his work and I knew that having him on board would lend my Mason campaign credibility. Just run the state or national donors and pundits
BKOB-1029||I Knew Too that he'd be a tough sell it's a reach he said on the day we met for lunch at a River North Bistro
BKOB-1030||active been one of many who would warn me against taking on Bobby Rush
BKOB-1031||cardi B of A sandwich he told me I couldn't afford a second loss
BKOB-1032||any doubt it a candidate whose name rhymes with Osama could get down state floats
BKOB-1033||plus it already been approached by at least two other likely Senate candidates they come forward and Hines and multi-millionaire hedge fund manager Blair Hall
BKOB-1034||both of them seemed a much stronger position to win so taking me on as a client was likely to cost his firm a hefty sum
BKOB-1035||wait till Rich Bailey retires and then run for mayor he concluded wiping mustard off his mustache it's better
BKOB-1036||he was right of course but I wasn't playing the conventional odds and an axe I sensed beneath all the poll data and strategy memos and talking points that were the tools of his trade
BKOB-1037||I'm going to storm self is more than just a Hired Gun
BKOB-1038||someone who might be a kindred spirit rather than arguing campaign mechanics I tried to appeal to his heart
BKOB-1039||Timber think about how JFK and Bobby Kennedy seem to tap into what's bathroom people I ask
BKOB-1040||I wonder how it felt to help LBJ passed the voting rights after FDR passed Social Security
BKOB-1041||I want you made millions of people's lives better
BKOB-1042||politics doesn't have to be with people think it is
BKOB-1043||can be something more access imposing eyebrows went up as he scanned my face
BKOB-1044||it must have been clear that I wasn't just trying to convince him
BKOB-1045||I was convincing myself a few weeks later he called to say that after talking it over with his business partners and his wife Susan you decide to take me on as a client
BKOB-1046||before I can thank him for Bible
BKOB-1047||your idealism is stirring Brock but unless you can raise 5 million bucks to get it on TV so people can hear it you don't stand a chance
BKOB-1048||with this I finally felt ready to test the waters with Michelle
BKOB-1049||you about working as the executive director for Community Affairs the University of Chicago hospital system
BKOB-1050||a job that gave her more flexibility but still required to juggle high-level
BKOB-1051||professional responsibilities with coordinating the girl play dates in school pickups
BKOB-1052||a little surprised Winstead responding with hell no bro
BKOB-1054||what I didn't know at the time was that Michelle had already gotten to Marty and Valerie and assigned them the job of talking me out of my foolishness
BKOB-1055||we gathered Valerie's High Park apartment and over Longbranch explain my thought process mapping out the scenarios would get us to the Democratic nomination and answering questions about how this race would be different from the last
BKOB-1056||but Michelle I didn't sugarcoat the amount of time I'd be away but this was that I promise
BKOB-1057||I lost this one we were done with politics for good
BKOB-1058||by the time I finished Valerie Marty have been persuaded no doubt to Michelle Chagrin
BKOB-1059||it wasn't a question of strategy for her aside from the fact that the thought of another campaign appeal to her about as much as root canal
BKOB-1060||she was most concerned with the effect on our family finances would still hadn't fully recovered from last
BKOB-1061||reminded me that we have student loans on mortgage and credit card that to think about
BKOB-1062||we haven't started saving for our daughter's college education
BKOB-1063||and on top of that that run would require me to stop practicing Law & Order Doughboy complex Memphis which would further diminish our income
BKOB-1064||if you lose will be deeper in the hole she said and what happens if you win are we supposed to maintain two households in Washington and Chicago when we can barely keep up with one
BKOB-1065||I'd anticipated this if I win on I said it will draw national attention
BKOB-1066||I'll be the only after American in the Senate
BKOB-1067||with a higher profile I could write another book and also lot of copies and that will cover the added expenses
BKOB-1068||shoveled out of sharp laugh I made some money on my first book but nothing close to what it would take to pay for the expenses I was not talking about incurring
BKOB-1069||is my wife song that most people would say that I imagine an Unwritten book was hardly a financial plan
BKOB-1070||in other words she said you got the magic beans in your pocket
BKOB-1071||that's what you telling me you got some magic beans and you're going to plant them in overnight a huge Beanstalk is going to grow High into the sky and you'll climb up the Beanstalk kill the giant who lives in the clouds and then bring home a goose that lays golden eggs
BKOB-1072||is that it sounds like that I said
BKOB-1073||Michelle stripper hadn't looked out the window we both knew what I was asking for
BKOB-1074||another disruption another gamble another step in the direction of something I
BKOB-1075||wanted and she truly didn't this isn't Barack Michelle said one last time
BKOB-1076||don't expect me to do any camping in fact you shouldn't even count on my butt
BKOB-1077||as a kid I sometimes watched as my salesman grandfather tried to sell life insurance policies over the phone
BKOB-1078||space registering misery as he make cold calls in the evening for my 10th floor apartment in a Honolulu highrise
BKOB-1079||during the early months of 2003 I found myself thinking of him often as I sat at my desk in the sparsely furnished headquarters of my newly launched Senate campaign
BKOB-1080||play the posters Muhammad Ali post triumphantly over a defeated Sonny Liston trying to pep talk myself into making another fundraising call
BKOB-1081||Kentucky named Jim kollywood recruited this campaign manager or staff insisted mostly of kids in their twenties only half of them were paid and two of them were still undergraduates
BKOB-1082||I felt especially sorry for my loan full-time fundraiser who had to push me to pick up the phone and solicit donations
BKOB-1083||will I getting better at being a politician I couldn't say
BKOB-1084||in the first scheduled candidates Forum in February 2003 I was Stephen ineffective
BKOB-1085||unable to get my brain to operate in the Tidy phrases such format required
BKOB-1086||but my lost the Bobby Rush had given me a clear blueprint for upping my game
BKOB-1087||I need it to interact more effectively with media learning to get my ideas across in pithy sound like
BKOB-1088||I needed to build a campaign there was less about policy papers more about connecting one-on-one with boaters
BKOB-1089||and I needed to raise money lots of
BKOB-1090||we conducted multiple poles would seem to confirm that I could win
BKOB-1091||only if I managed to improve my visibility was costly TV at
BKOB-1092||and yet as snake bit as my congressional races been this one felt strong
BKOB-1093||in April Peter Fitzgerald decided not to run for re-election
BKOB-1094||Carol Moseley Braun who would probably have locked up the Democratic nomination for old seat and inexplicably chosen to run for president instead leaving the contest wide open
BKOB-1095||the primary race against six other Democrats I want about lining up endorsements from unions and popular members of our Congressional Delegation helping the short mydownstate and liberal basis
BKOB-1096||ATB meal of democratic majority in the state senate has spearheaded the passage of a slew of bills requiring the videotaping of interrogations and capital cases to an expansion the Earned Income Tax Credit reinforcing my credentials as an effective legislator
BKOB-1097||the national political landscape tilted my favor is well
BKOB-1098||in October 2002 before even announcing my candidacy
BKOB-1099||I've been invited to speak against the impending US invasion of Iraq addressing an anti-war rally held in downtown Chicago
BKOB-1100||for soon-to-be Santa candidate the politics for money
BKOB-1101||both asked Dad thought the taking a clear unequivocal stand against the war with helping a Democratic primary
BKOB-1102||others caution that given the post 9/11 mood of the country at the time National poll showed as many as 67 percent of Americans in favor of taking military action against Iraq
BKOB-1103||the likelihood of at least short-term military success and my already challenging name and lineage opposition to the war could cripple my candidacy by election time
BKOB-1104||America likes to Kick Ass 1 friend Warren
BKOB-1105||I'm old over the question for a day or so and decided this was my first test
BKOB-1106||when I run the kind of campaign that I promised myself
BKOB-1107||I typed out a short speech 5 or 6 minutes long
BKOB-1108||and satisfied that reflected my honest bullies went to bed without sending it to the team for review
BKOB-1109||Palmdale rally more than 1,000 people gathered at Federal Plaza but Jeffy
BKOB-1110||the headliner was cold the wind gusting
BKOB-1111||there's a smattering of Applause muffled by mittens and gloves my name was called and I stepped up to the microphone
BKOB-1112||let me Begin by saying that although this has been billed as an anti-war rally
BKOB-1113||I stand before you as someone who's not opposed to war in all circumstances
BKOB-1114||crowd grew quiet uncertain where I was going
BKOB-1115||I described the blood spilled preserve the union and Usher in the new birth of Freedom The Pride I had my grandfather volunteering to fight in the wake of Pearl Harbor
BKOB-1116||my support for military action in Afghanistan and my own willingness to take up arms to prevent another
BKOB-1117||I don't oppose all wars I said what I am opposed to is a dumb War
BKOB-1118||I went on to argue that Saddam Hussein posed no imminent threat to the United States or its neighbors and that even a successful war against Iraq war require a u.s. occupation of
BKOB-1119||undetermined cost with undetermined consequences
BKOB-1120||I ended with the suggestion that President Bush was looking for a fight he should finish the job against Al-Qaeda stop supporting repressive regimes and wean America off Middle Eastern
BKOB-1122||leaving the pots I assumed my remarks would be little more than a footnote
BKOB-1123||news reports barely mention my presence at the rally
BKOB-1124||only a few months after us LED military Coalition begin bombing Baghdad Democrats started turning against the Iraq War
BKOB-1125||is casualties and Chaos Mountain the Press began asking questions that should have been posed from the outside
BKOB-1126||a Groundswell of Grassroots activism lifted a little-known Vermont Governor Howard Dean the challenge 2004 presidential candidates like John Kerry voted in support of the war
BKOB-1127||the short speech at given at the anti-war rally suddenly look
BKOB-1128||I began to circulate on the internet
BKOB-1129||my young staff had to explain to me what the hell blogs and Myspace had to do with the flood of new volunteers and Grassroots donations we were something again
BKOB-1130||as candidate I was having fun
BKOB-1132||I Hopscotch through the suburbs from the leafy Mansion filled Northshore Two Towns just south and west of the city where poverty and Bennett Buildings made some of them indistinguishable from Chicago's roughest neighborhoods
BKOB-1133||every couple weeks I've had downstait sometimes driving myself but more often traveling
BKOB-1134||Jeremiah postal or Anita Decker the two towns of staffers running my operations there
BKOB-1135||talking to voters in the early days of the campaign I tended to address the issues I was running on
BKOB-1136||ending tax breaks for companies that we're moving jobs overseas or promoting renewable energy or making it easier for kids to afford College
BKOB-1137||explain why it opposed the war in Iraq acknowledging the remarkable service of our soldiers the questioning why with certain new war when we had finished the one in Afghanistan while Osama Bin Laden was still at Large
BKOB-1138||overtime though I focus more on lesson
BKOB-1139||the more I listen the more people opened up
BKOB-1140||tell me about how it felt to be laid off after a lifetime of War
BKOB-1141||what it was like to have your home foreclosed upon or to have to sell the family farm
BKOB-1142||tell me about not being able to afford health insurance and I'll sometimes they broke the pills the doctor prescribed in half hoping to make the medicine last longer
BKOB-1143||I spoke to young people moving away because there were no good jobs in their town
BKOB-1144||brothers having a Dropout of college just shorter graduation because they couldn't cover the twist
BKOB-1145||my stump speech became less assertive the positions and more Chronicle of these different voices
BKOB-1146||course of Americans from every corner of the state
BKOB-1147||here's the thing I would say most people wherever they're from whatever they look like
BKOB-1148||I'm looking for the same thing and not trying to get filthy rich
BKOB-1149||I don't expect someone else to do what they can do for themselves
BKOB-1150||they do expect that if they're willing to work they should be able to find a job that supports a family
BKOB-1151||expected they shouldn't go bankrupt just because they get sick
BKOB-1152||expect the kids to be able to get a good education Wanda prepares them for this new economy
BKOB-1153||and they should be able to afford College if they put in the effort
BKOB-1154||I want be safe from criminals or terrorists
BKOB-1155||they figure that after a lifetime of War
BKOB-1156||spell retire with dignity and respect
BKOB-1158||and although they don't expect government to solve all their problems they do know deep in their phones that would just a slight change in priorities government could help
BKOB-1159||the room would be quiet night take a few questions when a meeting was over people lined up to shake my hand picked up some campaign literature talk to Jeremiah and need in Aurora Local campaign volunteer about how they could get involved
BKOB-1160||and I drive onto the next time knowing that the story I was telling was true
BKOB-1161||convinced that this campaign was no longer about me
BKOB-1162||but I become a conduit through which people might recognize the value of their own stories
BKOB-1163||their own worth and share them with one another
BKOB-1164||what are in sports or politics it's hard to understand the precise nature
BKOB-1165||momentum the by the beginning of 2004 we had
BKOB-1166||ask how to shoot two television ads the first had me speaking directly to the camera ending with the tagline yes we can
BKOB-1167||I thought this was corny but act immediately appealed to a higher power showing it to Michelle who deemed it not cornea.
BKOB-1168||second featured Sheila Simon daughter of the state's beloved former senator Paul Simon who died following heart surgery days before he planned to publicly endorse
BKOB-1169||we released the ass just four weeks before the primaries
BKOB-1170||in short order my support almost double
BKOB-1171||want to say five largest newspapers endorse me extra cut the ads to highlighted explaining why candidates tend to benefit more than white candidates from the validation
BKOB-1172||around this time the bottom fell out of my closest Rivals campaign after news outlets publish details from previously sealed court documents in which his ex-wife
BKOB-1173||domestic abuse March 16th 2004 the day of the Democratic primary
BKOB-1174||we ended up winning almost 53 percent of the vote in our seven-person field
BKOB-1175||that only more than all the other Democratic candidates combined but more than all the Republican votes have been cast Statewide in their primary
BKOB-1176||I remember only two moments from that night the delighted squeal from our daughters would maybe a little fear mixed in for two-year-old Sasha when the confetti guns went off at the victory party
BKOB-1177||and an ebullient act Rod telling me that I've won all but one of the majority-white wards in Chicago which had once served as the epicenter of racial resistance to Harold Washington
BKOB-1178||Harold smiling down on us tonight he said I remember the next morning as well when after almost no sleep I went down to Central Station to shake hands with commuters as they headed for work
BKOB-1179||a gentle snow has begun to fall the flagstick is flower petals
BKOB-1180||as people recognize me and shook my hand they all seem to wear the same spot
BKOB-1181||as if we're done something surprising together being shot from a cannon was how acts would describe the next few months that's exactly how it felt
BKOB-1182||our campaign became national news overnight but that works calling for interviews and elected officials around the country phoning with congratulations
BKOB-1183||it wasn't just a with one or even the unexpectedly large margin of our victory
BKOB-1184||interested observers was the way we'd one with boats from all demographics including from Southern and Rural White County
BKOB-1185||pundit speculated on what my campaign said about the state of American race relations
BKOB-1186||and because of my early opposition to be a rock or what am I say about where the Democratic party was had
BKOB-1187||my campaign didn't have the luxury celebration we just scramble to keep up
BKOB-1188||we brought on additional more experienced staff including
BKOB-1189||Jason's director Robert Gibbs a tough quick-witted Alabama and who would worked on the Carrie campaign
BKOB-1191||fortunately for us none of it translated on the campaign Trail
BKOB-1192||Ryan was flogged by the Press when in an attempt to tag me as a big-spending tax hiking liberal
BKOB-1193||used a series of chart showing numbers that turned out to be wildly and obviously wrong
BKOB-1194||he was later pilloried for having dispatched the young staffer who aggressively tell me with a handheld camcorder following me in the Laboratories and hovering even while I try to talk to Michelle in the girls hoping to catch me in a gap
BKOB-1195||the final blow came when the Press got hold of sealed records from Lyons divorce
BKOB-1196||sandwiches ex-wife collect pacchia pressured her to visit sex clubs and tried to coerce her into having sex in front of strangers
BKOB-1197||we're going to wake Ryan withdrew from the race
BKOB-1198||we're just five months to go until the general election I suddenly had no appointment
BKOB-1199||all I know gives now is after this thing's all over we're going to Vegas
BKOB-1200||still I maintained a grueling schedule often finishing the day's business and Springfield when driving to nearby towns for campaign events
BKOB-1201||on the way back from one such event I got a call from someone on John Kerry staff inviting me to give the keynote address at the Democratic National Convention being held in Boston in Late July
BKOB-1202||that I neither felt giddy nor nervous said something about the sheer improbability of the year I've just had
BKOB-1203||Axelrod offered to pull together the team to begin the process of drafting a speech but I weighed them all
BKOB-1204||let me take a crack at it I told him I know what I want to say
BKOB-1205||the next several days I wrote my speech mostly in the evenings sprawled on my bed at the Renaissance Hotel in Springfield a ballgame buzzing in the background
BKOB-1206||going to Yellow legal pad with my thoughts the words came switch
BKOB-1207||summation of politics I've been searching for since those early years in college
BKOB-1208||an inner struggle spell prompted the Journey To Where I Was now
BKOB-1209||my head felt full invoices with my mother my grandparents my father
BKOB-1210||the people at organized with folks on the campaign Trail
BKOB-1211||I thought about all those I'd encountered with plenty of reason to turn bitter and cynical through refuse to go that way
BKOB-1212||kept reaching for something higher who kept reaching for one another
BKOB-1213||at some point I remember the phrase I've heard once during a sermon by my pastor Jeremiah Wright one that captured the spirit
BKOB-1214||The Audacity Of Hope asking gives would later swap stories about the twin
BKOB-1215||turn leading up to the night I spoke at the convention how we had a negotiate the time I would be allotted originally 8 minutes bargain up to 17
BKOB-1216||the painful cuts to my original draft biaxin is able partner John Cooper
BKOB-1217||always made it better at the light flight to Boston is my legislative session in Springfield dragged into the night
BKOB-1218||practicing for the first time on a teleprompter with my coach Michael Sheehan explaining the microphones works fine so
BKOB-1219||you don't have to yell my anger when a young Kerry stafrin formulas that I had to cut one of my favorite lines because the nominee intended to poach it for his own speech
BKOB-1220||your state senator acts helpfully reminded me and they're giving you a national stage I don't think it's too much to ask
BKOB-1221||Michelle backstage beautiful-in-white squeezing my hand giving lovingly into my eyes and telling me
BKOB-1222||just don't screw it up buddy the two of us cracking up being silly when our love was always be
BKOB-1223||and then the introduction by the senior senator from Illinois Dick Durbin
BKOB-1224||let me tell you about this Barack Obama I've only watched the tape of my 2004 convention speech once all the way through
BKOB-1225||I did so well after the election was over Trine understand what happened in the hall that night
BKOB-1226||what stage makeup eye looks impossibly young
